School_name,Latitude,Longitude,Selective_school
Kendall Public School,-31.627392,152.702756,Not Selective
Kensington Public School,-33.909604,151.224965,Not Selective
Kenthurst Public School,-33.665603,151.004575,Not Selective
Kentlyn Public School,-34.073132,150.858576,Not Selective
Kentucky Public School,-30.759618,151.449162,Not Selective
Kiama Public School,-34.669659,150.850567,Not Selective
Kinchela Public School,-30.991064,152.995063,Not Selective
Kincumber Public School,-33.468184,151.394355,Not Selective
Kingsgrove Public School,-33.947822,151.10156,Not Selective
Bexley North Public School,-33.940838,151.120374,Not Selective
Kingstown Public School,-30.506681,151.116405,Not Selective
Kingswood Public School,-33.765884,150.726509,Not Selective
Kirkton Public School,-32.609773,151.290092,Not Selective
Kitchener Public School,-32.87782,151.369977,Not Selective
Kogarah Public School,-33.962028,151.136618,Not Selective
Koorawatha Public School,-34.034936,148.559705,Not Selective
Kootingal Public School,-31.053487,151.053682,Not Selective
Kororo Public School,-30.254553,153.131921,Not Selective
Krambach Public School,-32.046146,152.272293,Not Selective
Kulnura Public School,-33.232582,151.216011,Not Selective
Kurmond Public School,-33.549715,150.692309,Not Selective
